hasselback,our_name
So New Hamp,Southern New Hampshire University
So Oregon St,Southern Oregon University
So Queenslnd,University of Southern Queensland
So Texas,
So Utah,Southern Utah University
So Wales,University of South Wales
Sobang,
Sogang Univ,Sogang University
Songang Univ,Sogang University
Sonoma State,Sonoma State University
Sonoma State University,Sonoma State University
Soochow Univ,
Sook Myung,
Sophia,Sophia University
Sorbonne,University of Paris
South Carolina St University,South Carolina State University
South Dakota,University of South Dakota
South Dakota State Univ,South Dakota State University
South Fla,University of South Florida
South Korea,
Southamp,Southampton University
Southampt,Southampton University
Southeast Missouri St Univ,Southeast Missouri State University
Southeastern,Southeastern University
Southeastern Louisiana Univ,Southeastern Louisiana University
Southeastern Oklahoma,Southeastern Oklahoma State University
Southeastern Oklahoma St,Southeastern Oklahoma State University
Southeastern Oklahoma State,Southeastern Oklahoma State University
Southeastern University,Southeastern University
Southern,Southern University and A&M College
Southern Adventist Univ,Southern Adventist University
Southern Ark,Southern Arkansas University
Southern Arkansas Univ,Southern Arkansas University
Southern Connecticut St Un,Southern Connecticut State University
Southern Cross University,Southern Cross University
Southern Illinois Univ,Southern Illinois University
Southern Methodist Univ,Southern Methodist University
Southern Nazarene Univ,Southern Nazarene University
Southern New Hampshire Col,Southern New Hampshire University
Southern New Hampshire Univ,Southern New Hampshire University
Southern Oregon University,Southern Oregon University
Southern U,Southern University and A&M College
Southern Univ at New Orleans,Southern University and A&M College
Southern University,Southern University and A&M College
Southern University A&M,Southern University and A&M College
Southern Utah University,Southern Utah University
Southern-NO,
Southwes,Southwestern University
Southwest Baptist Univ,Southwest Baptist University
Southwest Minnesota St Univ,Southwest Minnesota State University
Southwest Missouri St Univ,Missouri State University
Southwest State University,Southwest Minnesota State University
Southwest Texas State Univ,Texas State University
Southwestern,Southwestern University
Southwestern Oklahoma St U,Southwestern Oklahoma State University
Southwestern Oklahoma St Un,Southwestern Oklahoma State University
Southwestern University,Southwestern University
Southwstrn,Southwestern University
Soviet,
Spring Hill,
Springfie MA,
Springfiel,
Srthrn Utah,Southern Utah University
St Ambro,St. Ambrose University
St Ambrose,St. Ambrose University
St Andrew,University of St Andrews
St Andrews,University of St Andrews
St Anselm,Saint Anselm College
St Benedict,College of Saint Benedict and Saint John's University
St Bonav,St. Bonaventure University
St Bonaventu,St. Bonaventure University
St Catherine,St. Catherine University
St Cloud,St. Cloud State University
St Cloud St,St. Cloud State University
St Edwards,St. Edward's University
St Fran,St. Francis College
St Fran Xav,St. Francis Xavier University
St Fran-NY,St. Francis College
St Fran-Penn,St. Francis University
St Franc,St. Francis University
St Francis,St. Francis University
St FrancisIL,
St Gall,University of Sankt Gallen
St Gallen,University of Sankt Gallen
St Joe,
St John Fish,St. John Fisher College
St John Fshr,St. John Fisher College
St John's,St. John's University
St John's-MN,
St Johns,St. John's University
St Joseph,St. Joseph's University
St Joseph C,
St Joseph-CT,
St Lawrence,St. Lawrence University
St Louis,Saint Louis University
St Lucia Aus,
St Martin,Saint Martin's College
St Martin's,Saint Martin's College
St Mary Wood,Saint Mary-of-the-Woods College
St Mary-NE,
St Marys,Saint Mary's University
St Marys Pla,
St Marys-Cal,Saint Mary's College of California
St Marys-Cdn,Saint Mary's University
St Marys-Cnd,Saint Mary's University
St Marys-Ind,Saint Mary's College (Indiana)
St Marys-MN,Saint Mary's University of Minnesota
St Marys-Tx,St. Mary's University
St Marys-Txs,St. Mary's University
St Michael's,Saint Michael's College
St MryTX,St. Mary's University
St Norbert,St. Norbert College
St Olaf,St. Olaf College
St Paul's,Saint Paul University
St Peter,Saint Peter's University
St Peters,Saint Peter's University
St Rose,College of Saint Rose
St Scholasti,College of St Scholastica
St Stevens,Stevens Institute of Technology
St Thomas,
St Thomas-FL,St. Thomas University
St Thomas-MN,University of St Thomas Minnesota
St Thomas-TX,University of St Thomas Texas
St Thomas-Tx,University of St Thomas Texas
St Vincent,Saint Vincent College
St West; Toron,
St Xavier,Saint Xavier University
St. Ambrose University,St. Ambrose University
St. Cloud State University,St. Cloud State University
St. Edward's University,St. Edward's University
St. Francis College,St. Francis College
St. Francis College-NY,St. Francis College
St. Francis Xavier Univ,St. Francis Xavier University
St. John Fisher College,St. John Fisher College
St. John's University,St. John's University
St. Johns-RM,St. John's University
St. Lawrence University,St. Lawrence University
St. Mary's University,St. Mary's University
St. Mary's University-Tx,St. Mary's University
St. Mary's University-TX,St. Mary's University
St. Norbert,St. Norbert College
St. Norbert College,St. Norbert College
St. Olaf College,St. Olaf College
St. Thomas University,St. Thomas University
St. Thomas University-FL,St. Thomas University
StAndrew,University of St Andrews
Stanford,Stanford University
Stanford University,Stanford University
Stanfore,Stanford University
State Farm,
State Un College at Geneseo,SUNY Geneseo
State Univ of West Georgia,University of West Georgia
Staten Isl,"CUNY, College of Staten Island"
Stephen F. Austin St Univ,Stephen F. Austin State University
Stephens Col,Stephens College
Stephens College,Stephens College
Stetson,Stetson University
Stetson University,Stetson University
Steven,Stevens Institute of Technology
Stevens,Stevens Institute of Technology
StFran-NY,St. Francis College
Stirling,University of Stirling
Stockholm,Stockholm University
Stockholm Ec,Stockholm School of Economics
Stockholm School of Econ,Stockholm School of Economics
Stonehill,Stonehill College
Stonehill College,Stonehill College
Strathcl,University of Strathclyde
Strathcly,University of Strathclyde
Strathclyde,University of Strathclyde
StThomMN,University of St Thomas Minnesota
Stuart Fl,
Suffolk,Suffolk University
Suffolk University,Suffolk University
Sul Ross,Sul Ross State University
Sul Ross St,Sul Ross State University
Sultan Qaboo,Sultan Qaboos University
Sultan Qaboos,Sultan Qaboos University
Sultan Qaboos University,Sultan Qaboos University
Sung Kyun K,Sungkyunkwan University
Sung Kyun Kw,Sungkyunkwan University
Sunley,
SUNY,
SUNY - New Paltz,SUNY New Paltz
SUNY at Albany,University at Albany
SUNY at Binghamton,Binghamton University
SUNY at Buffalo,University at Buffalo
SUNY at Fredonia,SUNY Fredonia
SUNY at New Paltz,SUNY New Paltz
SUNY at Old Westbury,SUNY Old Westbury
SUNY at Plattsburgh,SUNY Plattsburgh
SUNY at Stony Brook,Stony Brook University
SUNY Col at Cortland,SUNY Cortland
SUNY Col at Potsdam,SUNY Potsdam
SUNY College at Brockport,SUNY Brockport
SUNY College at Fredonia,SUNY Fredonia
SUNY College at Geneseo,SUNY Geneseo
SUNY College at Old Westbury,SUNY Old Westbury
SUNY College at Oneonta,SUNY Oneonta
SUNY College at Oswego,SUNY Oswego
SUNY College at Plattsburgh,SUNY Plattsburgh
SUNY College at Purchase,Purchase College
SUNY College at Stony Brook,Stony Brook University
SUNY Empire State College,Empire State College
SUNY Inst Tech @ Utica/Rome,SUNY Polytechnic Institute
SUNY Old Wes,SUNY Old Westbury
SUNY OLd Wes,SUNY Old Westbury
SUNY Oswego,SUNY Oswego
SUNY-Alb,University at Albany
SUNY-Albany,University at Albany
SUNY-Bin,Binghamton University
SUNY-Bingham,Binghamton University
SUNY-Brockpo,SUNY Brockport
SUNY-Buf,University at Buffalo
SUNY-Bufallo,University at Buffalo
SUNY-Buffalo,University at Buffalo
SUNY-Cortlan,SUNY Cortland
SUNY-Empire,Empire State College
SUNY-Fredon,SUNY Fredonia
SUNY-Fredoni,SUNY Fredonia
SUNY-Geneseo,SUNY Geneseo
SUNY-In,
SUNY-N Paltz,SUNY New Paltz
SUNY-Oneonta,SUNY Oneonta
SUNY-Oswego,SUNY Oswego
SUNY-Plattsb,SUNY Plattsburgh
SUNY-Potsdam,SUNY Potsdam
SUNY-Purchas,Purchase College
SUNY-SBr,Stony Brook University
SUNY-Stony B,Stony Brook University
SUNY-Utica,SUNY Polytechnic Institute
"SUNY, Col at Plattsburgh",SUNY Plattsburgh
Surrey,
Susquehanna,Susquehanna University
Susquehanna University,Susquehanna University
Sussex,University of Sussex
SW Assem God,
SW Bapt,Southwest Baptist University
SW Baptist,Southwest Baptist University
SW La,"University of Louisiana, Lafayette"
SW Louisiana,"University of Louisiana, Lafayette"
SW Minn St,Missouri State University
SW Missouri,Missouri State University
SW Ok St,Southwestern Oklahoma State University
SW Okla St,Southwestern Oklahoma State University
SW State,Southwest State University
SW Texas St,Texas State University
SW Tx St,Texas State University
Swarthmore,Swarthmore College
Swarthmore College,Swarthmore College
Sweden,
Swedish U,
Syddansk Un,Syddansk Universitet
Syddansk Universitet,Syddansk Universitet
Sydney,University of Sydney
Syracuse,Syracuse University
Syracuse University,Syracuse University
System Group,
Tailouse,
Taiwan,National Taiwan University
Taiwan Inst,
TallahasseFL,
Tampa,University of Tampa
Tampa FL,University of Tampa
Tanta U Egyp,
Tarleton,Tarleton State University
Tarleton St,Tarleton State University
Tarleton State University,Tarleton State University
TAS,University of Tasmania
Tasmania,University of Tasmania
Tax Attorney,Tax Attorney
Taylor,Taylor University
Taylor University,Taylor University
Tech-Sydney,University of Technology Sydney
Techion,Technion
Technion,Technion
Teharan Iran,
Teikyo Post,Teikyo Post University
Teikyo Post University,Teikyo Post University
Tel Aviv,Tel Aviv University
Tel Aviv Un,Tel Aviv University
Tel Aviv University,Tel Aviv University
Temple,Temple University
Temple University,Temple University
Tenn State,Tennessee State University
Tenn Tech,Tennessee Technological University
Tenn-Chattan,"University of Tennessee, Chattanooga"
Tenn-Martin,"University of Tennessee, Martin"
Tennessee,University of Tennessee
Tennessee at Chattanooga,"University of Tennessee, Chattanooga"
Tennessee State University,Tennessee State University
Tennessee Technological Un,Tennessee Technological University
Texarkana TX,
Texas,University of Texas at Austin
Texas A&M,Texas A&M University
Texas A&M - Corpus Christi,Texas A&M University–Corpus Christi
Texas A&M International Univ,Texas A&M International University
Texas A&M Intl University,Texas A&M International University
Texas A&M Un- Corpus Christi,Texas A&M University–Corpus Christi
Texas A&M Univ-Commerce,Texas A&M University–Commerce
Texas A&M Univ-Kingsville,Texas A&M University–Kingsville
Texas A&M University,Texas A&M University
Texas Christian University,Texas Christian University
Texas Lutheran College,Texas Lutheran University
Texas Lutheran University,Texas Lutheran University
Texas Southern University,Texas Southern University
Texas State U - San Marcos,Texas State University
Texas Tech,Texas Tech University
Texas Tech University,Texas Tech University
Texas Wesleyan University,Texas Wesleyan University
Texas Woman's University,Texas Woman's University
Texas-Austin,University of Texas at Austin
Texas-Dallas,"University of Texas, Dallas"
Texas-Tyler,"University of Texas, Tyler"
Thailand,
Thames Poly,University of Greenwich
ThamesPoly,University of Greenwich
Thammasat U,Thammasat University
Thammasat Un,Thammasat University
Thclyde,
The Citadel,"Citadel, The Military College of South Carolina"
The College of Insurance,College of Insurance
The College of New Jersey,The College of New Jersey
The College of Saint Rose,College of Saint Rose
The College of Wooster,College of Wooster
The Colorado College,Colorado College
The Sage Colleges,Russell Sage College
Thomas More,
Thunderb,Thunderbird School of Global Management
Tiawan,
Tilberg,Tilburg University
Tilburg,Tilburg University
Tilburg Univ,Tilburg University
Tilburg University,Tilburg University
Tn-Chatt,
Tohoku U,Tohoku University
Tokyo,University of Tokyo
Tokyo In,
Toledo,University of Toledo
Toronto,University of Toronto
Touche Ross,
Toulouse,University of Toulouse
Touro,Touro College
Touro College,Touro College
Touro Law,
Towson,Towson University
Towson State,Towson University
Towson University,Towson University
Toyko In,
"Toyko, Japan",University of Tokyo
Transylvania,Transylvania University
Transylvania University,Transylvania University
Trenton St,
Tri State,Tri State University
Tri State University,Tri State University
Tri-State,Tri State University
Tri-State University,Tri State University
Trieste,University of Trieste
Trinity,Trinity University
Trinity Col,Trinity College Hartford
Trinity College,Trinity College Hartford
Trinity University,Trinity University
Trinity-CT,Trinity College Hartford
Troy St,Troy State University
Troy St-Doth,Troy State University
Troy St-Fla,Troy State University
Troy St-Mont,Troy State University
Troy State,Troy State University
Troy State Univ Dothan,Troy State University
"Troy State Univ, Montgomery",Troy State University
Troy State University,Troy State University
Troy University,Troy State University
Truman State,Truman State University
Truman State University,Truman State University
TRW,
Tsinghua Un,Tsinghua University
Tsukuba,
Tucson AR,
Tufts,Tufts University
Tufts University,Tufts University
Tulane,Tulane University
Tulane University,Tulane University
Tulsa,University of Tulsa
Tulsa OK,University of Tulsa
Tunghai Univ,Tunghai University
Tunisia,
Turku,University of Turku
Tuskegee,Tuskegee University
Tuskegee University,Tuskegee University
Tuskgegee,Tuskegee University
Tx A&I,Texas A&M University
Tx A&M,Texas A&M University
Tx A&M C,Texas A&M University–Commerce
Tx A&M C Chr,Texas A&M University–Corpus Christi
Tx A&M Intl,Texas A&M International University
Tx A&M-C,Texas A&M University–Commerce
Tx A&M-C Chr,Texas A&M University–Corpus Christi
Tx A&M-Comm,Texas A&M University–Commerce
Tx A&M-K,Texas A&M University–Kingsville
Tx A&M-Kings,Texas A&M University–Kingsville
Tx AM,Texas A&M University
Tx Chr,Texas Christian University
Tx Christian,Texas Christian University
Tx Lutheran,Texas Lutheran University
Tx Regist Of,
Tx So,Texas Southern University
Tx Southern,Texas Southern University
Tx St-S Marc,Texas State University
Tx Tech,Texas Tech University
Tx Tech Law,
Tx Woman,Texas Woman's University
Tx-Arlin,"University of Texas, Arlington"
Tx-Arlington,"University of Texas, Arlington"
Tx-Austin,University of Texas at Austin
Tx-Brownsvil,"University of Texas, Brownsville"
Tx-Dallas,"University of Texas, Dallas"
Tx-El Paso,"University of Texas, El Paso"
Tx-ElPaso,"University of Texas, El Paso"
Tx-Pan Am,"University of Texas, Pan American"
Tx-Pan Amer,"University of Texas, Pan American"
Tx-PanAm,"University of Texas, Pan American"
Tx-PrmBs,University of Texas of the Permian Bassin
Tx-S Antonio,"University of Texas, San Antonio"
Tx-San Ant,"University of Texas, San Antonio"
Tx-San Anton,"University of Texas, San Antonio"
Tx-Tyler,"University of Texas, Tyler"
Txs Southern,Texas Southern University
Txs Wesleyan,Texas Wesleyan University
Txs Woman's,Texas Woman's University
Txs-El Paso,"University of Texas, El Paso"
Txs-Perm Bas,"University of Texas, Permian Basin"
Txs-San Ant,"University of Texas, San Antonio"
U Alexandria,Alexandria University
U Auckland,University of Auckland
U Cairo,University of Cairo
U Cal,
U Calabar,University of Calabar
U Conception,
U Dublin,Dublin University
U Galway Ire,
U Glamorgan,University of Glamorgan
U Graz,University of Graz
U Hong Kong,University of Hong Kong
U Ibadan Nig,University of Ibadan
U Ilorin,
U Indonesia,
U Jordan,
U Lagos,University of Lagos
U Lagos Nige,University of Lagos
U Lancaster,Lancaster University
U Lethbridge,University of Lethbridge
U Lund,Lund University
U Manchester,University of Manchester
U Manchester Inst Sci & Tch,University of Manchester Institute of Science and Technology
U Manchester Inst Sci & Tech,University of Manchester Institute of Science and Technology
U Manitoba,University of Manitoba
U Massachusetts at Boston,University of Massachusetts
U Massachusetts Boston,University of Massachusetts
U Massachusetts-Dartmouth,University of Massachusetts
U Melbourne,University of Melbourne
U Miami,University of Miami
U Miami-Fla,University of Miami
U Missouri - Kansas City,University of Missouri–Kansas City
U Missouri--Kansas City,University of Missouri–Kansas City
U Missouri--St. Louis,University of Missouri-St. Louis
U New Englan,University of New England Australia
U Newcastle,University of Newcastle
U North Carolina at Pembroke,University of North Carolina at Pembroke
U North Carolina Greensboro,"University of North Carolina, Greensboro"
U Nottingham,University of Nottingham
U of Alabama at Birmingham,"University of Alabama, Birmingham"
U of Alabama in Huntsville,"University of Alabama, Huntsville"
U of Arkansas at Little Rock,"University of Arkansas, Little Rock"
U of Arkansas at Monticello,"University of Arkansas, Monticello"
U of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff
"U of Calif, Santa Barbara","University of California, Santa Barbara"
U of California at Berkeley,"University of California, Berkeley"
U of California-Berkeley,"University of California, Berkeley"
U of Colorado at Co Springs,University of Colorado Colorado Springs
U of Louisiana at Lafayette,"University of Louisiana, Lafayette"
U of M,University of Massachusetts
U of Maryland Eastern Shore,University of Maryland Eastern Shore
U of Massachusetts at Lowell,University of Massachusetts
U of Massachusetts Lowell,University of Massachusetts
U of Minnesota - Duluth,University of Minnesota Duluth
U of Minnesota Duluth,University of Minnesota Duluth
U of Missouri - Columbia,University of Missouri
U of Missouri – Columbia,University of Missouri
U of Missouri at Columbia,University of Missouri
U of Pittsburgh at Johnstown,"University of Pittsburgh, Johnstown"
U of Southern Mississippi,University of Southern Mississippi
U of Southwestern Louisiana,"University of Louisiana, Lafayette"
U of Texas at Arlington,"University of Texas, Arlington"
U of Texas of Permian Basin,"University of Texas, Permian Basin"
U of Wisconsin-Eau Claire,"University of Wisconsin, Eau Claire"
U of Wisconsin-La Crosse,"University of Wisconsin, La Crosse"
U of Wisconsin-Platteville,"University of Wisconsin, Platteville"
U of Wisconsin-River Falls,"University of Wisconsin, River Falls"
U of Wisconsin-Stevens Point,"University of Wisconsin, Stevens Point"
U of Wisconsin-Whitewater,"University of Wisconsin, Whitewater"
U Paris,
U Phillipean,
U Port Harco,University of Port Harcourt
U Portsmith,University of Portsmouth
U Prasada,
U Queensland,University of Queensland
U San Fran,University of San Francisco
U So Denmark,Syddansk Universitet
U South Carolina at Spartanb,"University of South Carolina, Spartanburg"
U South Carolina Upstate,"University of South Carolina, Spartanburg"
U South Carolina-Spartanburg,"University of South Carolina, Spartanburg"
U South Carolina/Spartanburg,"University of South Carolina, Spartanburg"
U Texas of the Permian Basin,"University of Texas, Permian Basin"
U Ulsan-Kore,University of Ulsan
U Wash,University of Washington
U Wash-Bothe,University of Washington Bothell
U Wash-Bothl,University of Washington Bothell
U Wash-Tacom,University of Washington Tacoma
U Washington,University of Washington
U Wisconsin-Stevens Point,"University of Wisconsin, Stevens Point"
U Wisconsin-Stevens Point Stevens,"University of Wisconsin, Stevens Point"
U Wollongong,University of Wollongong
U Woolongong,University of Wollongong
U.S. Air Force Academy,U.S. Air Force Academy
U.S. Military Academy,U.S. Military Academy
U.S. Naval Academy,U.S. Naval Academy
U.S. Steel,
UAMadrid,Autonomous University of Madrid
UCB,
UCI,
UCLA,"University of California, Los Angeles"
UD,
UIBE,
UIPA,
Ukranian,
Ulster,Ulster University
UMEA,Umea University
Umea,Umea University
UMIST,University of Manchester Institute of Science and Technology
UMUT,
Un Amsterdam,University of Amsterdam
Un Cl Dublin,University College Dublin
Un East Lond,University of East London
Un Hong Kong,University of Hong Kong
Un of Manchester-Business,Manchester Business School
Un of Texas at San Antonio,"University of Texas, San Antonio"
Un of Wisconsin-Green Bay,"University of Wisconsin, Green Bay"
Un of Wisconsin-Milwaukee,"University of Wisconsin, Milwaukee"
Un Stirling,University of Stirling
Un Tasmania,University of Tasmania
Un Warwick,University of Warwick
Un Waterloo,University of Waterloo
Un Zimbabwe,University of Zimbabwe
UNAM,
Undergraduate,
UNE,
Union,Union College
Union C,Union College
Union College,Union College
Union College-KY,Union College (Kentucky)
Union College-NY,Union College
Union Gr,Union Graduate College
Union In,Union Institute & University
Union Inst,Union Institute & University
Union University,Union University
Union-KY,Union College (Kentucky)
Union-TN,Union University
United States Intl Univ,Alliant International University
Univ Alberta,University of Alberta
Univ America,
"Univ at Albany, SUNY",University at Albany
Univ Bath,University of Bath
Univ Bristol,University of Bristol
Univ Calgary,University of Calgary
Univ Cariboo,University College of Cariboo
Univ Col of the Cariboo,University College of Cariboo
Univ du Quebec a Montreal,University of Quebec in Montreal
Univ Essex,University of Essex
Univ Exeter,University of Exeter
Univ Glasgow,University of Glasgow
Univ Graz,University of Graz
Univ Heig OH,
Univ Hongik,
Univ Hull,University of Hull
Univ Illinois at Springfield,"University of Illinois, Springfield"
Univ Laval,Universite Laval
Univ Leeds,University of Leeds
Univ Maryland-Baltimore Co,"University of Maryland, Baltimore County"
Univ Missouri-Kansas City,University of Missouri–Kansas City
Univ Nacional de Cordoba,National University of Córdoba
Univ Navarra,University of Navarra
Univ New Brunswick-St John,University of New Brunswick
Univ of Alaska - Fairbanks,University of Alaska Fairbanks
Univ of Alaska Anchorage,"University of Alaska, Anchorage"
Univ of Alaska Fairbanks,University of Alaska Fairbanks
Univ of Alaska Southeast,University of Alaska Southeast
"Univ of Alaska, Anchorage","University of Alaska, Anchorage"
Univ of British Columbia,University of British Columbia
"Univ of Calif, Irvine","University of California, Irvine"
"Univ of Calif, Los Angeles","University of California, Los Angeles"
"Univ of Calif, Riverside","University of California, Riverside"
"Univ of Calif, San Diego","University of California, San Diego"
"Univ of Calif, Santa Cruz","University of California, Santa Cruz"
Univ of California-Davis,"University of California, Davis"
"Univ of California, Davis","University of California, Davis"
Univ of Central Arkansas,University of Central Arkansas
Univ of Central Florida,University of Central Florida
Univ of Central Oklahoma,University of Central Oklahoma
Univ of Colorado at Boulder,University of Colorado
Univ of Colorado at Denver,"University of Colorado, Denver"
Univ of D C,University of the District of Columbia
Univ of District of Columbia,University of the District of Columbia
Univ of Hawaii - West Oahu,"University of Hawaii, West Oahu"
Univ of Hawaii at Manoa,University of Hawaii
Univ of Houston-Clear Lake,"University of Houston, Clear Lake"
Univ of Houston-Downtown,University of Houston-Downtown
Univ of Houston-Victoria,University of Houston-Victoria
Univ of Illinois at Chicago,"University of Illinois, Chicago"
Univ of Louisiana at Monroe,University of Louisiana at Monroe
Univ of Maine,University of Maine
Univ of Mary Hardin-Baylor,University of Mary Hardin-Baylor
Univ of Mary Washington,University of Mary Washington
Univ of Melbourne-Victoria,Victoria University
Univ of Michigan-Dearborn,University of Michigan
Univ of Michigan-Flint,University of Michigan
Univ of Missouri - St. Louis,University of Missouri-St. Louis
Univ of Missouri-Columbia,University of Missouri
Univ of Nebraska at Kearney,University of Nebraska at Kearney
Univ of Nebraska at Omaha,University of Nebraska at Omaha
"Univ of Nevada, Las Vegas","University of Nevada, Las Vegas"
Univ of New South Wales,University of New South Wales
Univ of Northern Colorado,University of Northern Colorado
Univ of Saskatchewan,University of Saskatchewan
Univ of South Carolina,University of South Carolina
Univ of Southern California,University of Southern California
Univ of Southern Colorado,Colorado State University Pueblo
Univ of Southern Denmark,Syddansk Universitet
Univ of Southern Indiana,University of Southern Indiana
Univ of Southern Maine,University of Southern Maine
Univ of Southern Queensland,University of Southern Queensland
"Univ of Technology, Sydney",University of Technology Sydney
Univ of Tennessee at Martin,"University of Tennessee, Martin"
Univ of Texas at Austin,University of Texas at Austin
Univ of Texas at Dallas,"University of Texas, Dallas"
Univ of Texas at El Paso,"University of Texas, El Paso"
Univ of Texas at Tyler,"University of Texas, Tyler"
Univ of Texas-Pan American,"University of Texas, Pan American"
Univ of the Cumberlands,Cumberland College
Univ of the Incarnate Word,University of the Incarnate Word
Univ of the Virgin Islands,University of the Virgin Islands
Univ of The West Indies,University of the West Indies
Univ of The West Indies7,University of the West Indies
Univ of Umea,Umea University
"Univ of Wales, Bangor",Bangor University
"Univ of Washington, Tacoma",University of Washington Tacoma
Univ of Western Australia,University of Western Australia
Univ of Western Ontario,University of Western Ontario
Univ of Wisconsin Oshkosh,"University of Wisconsin, Oshkosh"
Univ of Wisconsin-Green Bay,"University of Wisconsin, Green Bay"
Univ of Wisconsin-Madison,"University of Wisconsin, Madison"
Univ of Wisconsin-Milwaukee,"University of Wisconsin, Milwaukee"
Univ of Wisconsin-Oshkosh,"University of Wisconsin, Oshkosh"
Univ of Wisconsin-Parkside,"University of Wisconsin, Parkside"
Univ of Wisconsin-Superior,"University of Wisconsin, Superior"
Univ Otago,University of Otago
Univ Ottawa,University of Ottawa
Univ Pizaeus,University of Piraeus
Univ Regina,University of Regina
Univ Sharjah,University of Sharjah
Univ So Carolina at Aiken,University of South Carolina Aiken
Univ South,University of the South
Univ Sydney,University of Sydney
Univ Tech,University of Technology Sydney
Univ Texas at Brownsville,"University of Texas, Brownsville"
Univ Toronto,University of Toronto
Univ Tsukuba,University of Tsukuba
Univ Tunis,University of Tunis
Univ Ulsan,University of Ulsan
Univ Ulster,Ulster University
Univ Ulster at Jordanstown,Ulster University
Univ Wales,University of Wales
Univ Warwick,University of Warwick
Univ Western Sydney,Western Sydney University
Univ Windsor,University of Windsor
Universitat Pompeu Fabra,Pompeu Fabra University
Universite de Sherbrooke,Sherbrooke University
Universite du Quebec a Hull,Université du Québec en Outaouais
Universite Laval,Universite Laval
University College Dublin,University College Dublin
University Missouri - Rolla,Missouri University of Science and Technology
University of Aberdeen,University of Aberdeen
University of Adelaide,University of Adelaide
University of Akron,University of Akron
University of Alabama,University of Alabama
University of Alberta,University of Alberta
University of Amsterdam,University of Amsterdam
University of Arizona,University of Arizona
University of Arkansas,University of Arkansas
University of Arkansas Fayetteville,University of Arkansas
University of Auckland,University of Auckland
University of Baltimore,University of Baltimore
University of Bath,University of Bath
University of Bridgeport,University of Bridgeport
University of Bristol,University of Bristol
"University of Buffalo, SUNY",University at Buffalo
University of Calgary,University of Calgary
University of Canterbury,University of Canterbury
University of Chicago,University of Chicago
University of Cincinnati,University of Cincinnati
University of Connecticut,University of Connecticut
University of Cyprus,University of Cyprus
University of Dallas,University of Dallas
University of Dayton,University of Dayton
University of Delaware,University of Delaware
University of Denver,University of Denver
University of Detroit Mercy,University of Detroit Mercy
University of Dundee,University of Dundee
University of East Anglia,University of East Anglia
University of East London,University of East London
University of Essex,University of Essex
University of Evansville,University of Evansville
University of Exeter,University of Exeter
University of Findlay,University of Findlay
University of Florida,University of Florida
University of Georgia,University of Georgia
University of Glamorgan,University of Glamorgan
University of Graz,University of Graz
University of Guam,University of Guam
University of Hartford,University of Hartford
University of Hawaii at Hilo,"University of Hawaii, Hilo"
University of Hawaii-Hilo,"University of Hawaii, Hilo"
University of Hong Kong,University of Hong Kong
University of Houston,University of Houston
University of Houston-Downtown,University of Houston-Downtown
University of Hull,University of Hull
University of Idaho,University of Idaho
University of Illinois,University of Illinois
University of Indianapolis,University of Indianapolis
University of Iowa,University of Iowa
University of Kansas,University of Kansas
University of Kentucky,University of Kentucky
University of Lancaster,Lancaster University
University of LaVerne,University of La Verne
University of Leeds,University of Leeds
University of Lethbridge,University of Lethbridge
University of Louisville,University of Louisville
University of Maine,University of Maine
University of Manchester,University of Manchester
University of Manitoba,University of Manitoba
University of Mary,"University of Maryland, College Park"
University of Maryland,"University of Maryland, College Park"
University of Massachusetts,University of Massachusetts
University of Melbourne,University of Melbourne
University of Memphis,University of Memphis
University of Miami,University of Miami
University of Miami Coral Gables,University of Miami
University of Michigan,University of Michigan
University of Minnesota,University of Minnesota
University of Mississippi,University of Mississippi
University of Montana,University of Montana
University of Montevallo,University of Montevallo
University of Navarra,University of Navarra
University of Nebraska,University of Nebraska
University of Nevada,"University of Nevada, Reno"
"University of Nevada, Reno","University of Nevada, Reno"
University of New Brunswick,University of New Brunswick
University of New England,University of New England Australia
University of New Hampshire,University of New Hampshire
University of New Haven,University of New Haven
University of New Mexico,University of New Mexico
University of New Orleans,University of New Orleans
University of Newcastle,University of Newcastle
University of North Alabama,University of North Alabama
University of North Carolina,University of North Carolina
University of North Dakota,University of North Dakota
University of North Florida,University of North Florida
University of North Texas,University of North Texas
University of Northern Iowa,University of Northern Iowa
University of Notre Dame,University of Notre Dame
University of Nottingham,University of Nottingham
University of Oklahoma,University of Oklahoma
University of Oregon,University of Oregon
University of Otago,University of Otago
University of Ottawa,University of Ottawa
University of Oxford,University of Oxford
University of Pennsylvania,University of Pennsylvania
University of Pittsburgh,University of Pittsburgh
University of Portland,University of Portland
University of Portsmith,University of Portsmouth
University of Puerto Rico,University of Puerto Rico
University of Puget Sound,University of Puget Sound
University of Queensland,University of Queensland
University of Redlands,University of Redlands
University of Regina,University of Regina
University of Rhode Island,University of Rhode Island
University of Richmond,University of Richmond
University of Rio Grande,University of Rio Grande
University of Rochester,University of Rochester
University of San Diego,University of San Diego
University of San Francisco,University of San Francisco
University of Scranton,University of Scranton
University of Sharjah,University of Sharjah
University of South Alabama,University of South Alabama
University of South Dakota,University of South Dakota
University of South Florida,University of South Florida
University of St. Thomas-MN,University of St Thomas Minnesota
University of St. Thomas-TX,University of St Thomas Texas
University of Stirling,University of Stirling
University of Strathclyde,University of Strathclyde
University of Sydney,University of Sydney
